Zone,Date,ehs_responses,responses_roll3,responses_pct_change,responses_zscore
Northern,2021-05-01,2303.0,1397.0,0.33352634626519984,0.7307860908659903
Northern,2021-06-01,1964.0,1998.0,-0.14719930525401648,-0.08005723636941642
Northern,2021-07-01,2067.0,2111.3333333333335,0.05244399185336057,0.16630519048971895
Northern,2021-08-01,2562.0,2197.6666666666665,0.2394775036284471,1.3502799603467288
Northern,2021-09-01,1985.0,2204.6666666666665,-0.2252146760343482,-0.029828003708815998
Northern,2021-10-01,2482.0,2343.0,0.2503778337531486,1.1589305025920604
Northern,2021-11-01,1942.0,2136.3333333333335,-0.217566478646253,-0.1326783372519502
Northern,2021-12-01,1950.0,2124.6666666666665,0.004119464469618972,-0.11354339147648336
Northern,2022-01-01,2365.0,2085.6666666666665,0.21282051282051273,0.8790819206258582
Northern,2022-02-01,1964.0,2093.0,-0.16955602536997882,-0.08005723636941642
Northern,2022-03-01,1989.0,2106.0,0.01272912423625261,-0.020260530821082586
Northern,2022-04-01,1905.0,1952.6666666666667,-0.042232277526395134,-0.22117746146348424
Northern,2022-05-01,2385.0,2093.0,0.25196850393700787,0.9269192850645253
Northern,2022-06-01,1902.0,2064.0,-0.2025157232704402,-0.2283530661292843
Northern,2022-07-01,2513.0,2266.6666666666665,0.32124079915878023,1.2330784174719944
Northern,2022-08-01,2008.0,2141.0,-0.20095503382411462,0.025184965395651127
Northern,2022-09-01,1982.0,2167.6666666666665,-0.01294820717131473,-0.037003608374616054
Northern,2022-10-01,2359.0,2116.3333333333335,0.19021190716448033,0.864730711294258
Northern,2022-11-01,1762.0,2034.3333333333333,-0.25307333615938954,-0.5632146171999538
Northern,2022-12-01,1828.0,1983.0,0.03745743473325769,-0.40535131455235246
Northern,2023-01-01,2100.0,1896.6666666666667,0.14879649890590807,0.24523684181351962
Northern,2023-02-01,1635.0,1854.3333333333333,-0.22142857142857142,-0.8669818813854896
Northern,2023-03-01,1721.0,1818.6666666666667,0.05259938837920486,-0.6612812142992213
Northern,2023-04-01,2130.0,1828.6666666666667,0.23765252760023237,0.31699288847152024
Northern,2023-05-01,1666.0,1839.0,-0.21784037558685443,-0.7928339665055557
Northern,2023-06-01,1805.0,1867.0,0.08343337334933976,-0.4603642836568196
Northern,2023-07-01,2451.0,1974.0,0.35789473684210527,1.0847825877121267
Northern,2023-08-01,1947.0,2067.6666666666665,-0.2056303549571603,-0.12071899614228342
Northern,2023-09-01,1807.0,2068.3333333333335,-0.07190549563430915,-0.4555805472129529
Northern,2023-10-01,2226.0,1993.3333333333333,0.23187603763143327,0.5466122377771221
Northern,2023-11-01,1890.0,1974.3333333333333,-0.15094339622641506,-0.2570554847924845
Northern,2023-12-01,2431.0,2182.3333333333335,0.2862433862433862,1.0369452232734595
Western,2021-03-01,231.0,231.0,,-4.482785787858392
Western,2021-04-01,2169.0,1200.0,8.38961038961039,-0.3813719785363354
Western,2021-05-01,2794.0,1731.3333333333333,0.28815122176118035,0.9413233934070523
Western,2021-06-01,2498.0,2487.0,-0.10594130279169645,0.3148948652546638
Western,2021-07-01,2311.0,2534.3333333333335,-0.07485988791032827,-0.08085559003079774
Western,2021-08-01,2748.0,2519.0,0.18909562959757675,0.8439730140320189
Western,2021-09-01,2275.0,2444.6666666666665,-0.1721251819505094,-0.15704284345473687
Western,2021-10-01,2708.0,2577.0,0.1903296703296704,0.7593205102276421
Western,2021-11-01,2155.0,2379.3333333333335,-0.20420974889217136,-0.4110003548678673
Western,2021-12-01,2296.0,2386.3333333333335,0.06542923433874703,-0.11260027895743906
Western,2022-01-01,2752.0,2401.0,0.1986062717770034,0.8524382644124566
Western,2022-02-01,2299.0,2449.0,-0.16460755813953487,-0.1062513411721108
Western,2022-03-01,2141.0,2397.3333333333335,-0.06872553284036542,-0.4406287311993992
Western,2022-04-01,2347.0,2262.3333333333335,0.09621672115833713,-0.004668336606858619
Western,2022-05-01,2881.0,2456.3333333333335,0.22752449936088626,1.1254425891815718
Western,2022-06-01,2266.0,2498.0,-0.2134675459909754,-0.17608965681072167
Western,2022-07-01,3095.0,2747.3333333333335,0.3658428949691086,1.5783334845349877
Western,2022-08-01,2302.0,2554.3333333333335,-0.25621970920840065,-0.09990240338678254
Western,2022-09-01,2215.0,2537.3333333333335,-0.03779322328410073,-0.2840215991613021
Western,2022-10-01,2786.0,2434.3333333333335,0.2577878103837472,0.9243928926461769
Western,2022-11-01,2319.0,2440.0,-0.16762383345297915,-0.06392508926992238
Western,2022-12-01,2101.0,2402.0,-0.09400603708495037,-0.525281235003776
Western,2023-01-01,2500.0,2306.6666666666665,0.1899095668729176,0.3191274904448827
Western,2023-02-01,2099.0,2233.3333333333335,-0.1604,-0.5295138601939948
Western,2023-03-01,2022.0,2207.0,-0.03668413530252501,-0.6924699300174202
Western,2023-04-01,2590.0,2237.0,0.28090999010880324,0.5095956240047305
Western,2023-05-01,2161.0,2257.6666666666665,-0.1656370656370656,-0.3983024792972108
Western,2023-06-01,2131.0,2294.0,-0.013882461823229941,-0.4617918571504934
Western,2023-07-01,2806.0,2366.0,0.3167526982637259,0.9667191445483653
Western,2023-08-01,2162.0,2366.3333333333335,-0.2295081967213115,-0.3961861667021014
Western,2023-09-01,2182.0,2383.3333333333335,0.009250693802035137,-0.35385991479991297
Western,2023-10-01,2727.0,2357.0,0.24977085242896435,0.7995304495347211
Western,2023-11-01,2076.0,2328.3333333333335,-0.2387238723872387,-0.5781890498815115
Western,2023-12-01,2728.0,2510.3333333333335,0.3140655105973025,0.8016467621298305
