Zone,Date,pc_visits,pc_visits_roll3,pc_visits_pct_change,ehs_responses,ehs_responses_roll3,ehs_responses_pct_change,responses_zscore
Central,2023-12-01,21105.0,20464.33333333333,0.0007586893641233,4492.0,4254.666666666667,0.2316972854400878,0.7414551761096494
Eastern,2021-04-01,422.0,312.6666666666667,1.0288461538461535,1696.0,925.0,10.012987012987011,-0.3288492177109803
Eastern,2021-05-01,328.0,319.3333333333333,-0.2227488151658767,2193.0,1347.6666666666667,0.2930424528301887,0.9761987111007022
Eastern,2021-06-01,384.0,378.0,0.1707317073170731,1739.0,1876.0,-0.2070223438212494,-0.2159376262846174
Eastern,2021-07-01,303.0,338.3333333333333,-0.2109375,1801.0,1911.0,0.0356526739505462,-0.0531348665535825
Eastern,2021-08-01,354.0,347.0,0.1683168316831682,2235.0,1925.0,0.2409772348695169,1.0864844515636614
Eastern,2021-09-01,446.0,367.6666666666667,0.2598870056497175,1769.0,1935.0,-0.2085011185682326,-0.1371620973825037
Eastern,2021-10-01,358.0,386.0,-0.1973094170403587,2077.0,2027.0,0.1741096664782362,0.6715999993458629
Eastern,2021-11-01,583.0,462.3333333333333,0.6284916201117319,1694.0,1846.6666666666667,-0.1844005777563794,-0.3341009196377879
Eastern,2021-12-01,1735.0,892.0,1.97598627787307,1724.0,1831.6666666666667,0.0177095631641086,-0.2553253907356742
Eastern,2022-01-01,1676.0,1331.3333333333333,-0.0340057636887608,2012.0,1810.0,0.1670533642691416,0.5009196867246166
Eastern,2022-02-01,2021.0,1810.6666666666667,0.2058472553699284,1804.0,1846.6666666666667,-0.1033797216699801,-0.0452573136633712
Eastern,2022-03-01,1991.0,1896.0,-0.0148441365660564,1807.0,1874.3333333333333,0.0016629711751663,-0.0373797607731598
Eastern,2022-04-01,5964.0,3325.333333333333,1.995479658463084,1804.0,1805.0,-0.0016602102933037,-0.0452573136633712
Eastern,2022-05-01,5779.0,4578.0,-0.0310194500335345,2290.0,1967.0,0.26940133037694,1.2309062545508695
Eastern,2022-06-01,6212.0,5985.0,0.0749264578646824,1750.0,1948.0,-0.2358078602620087,-0.1870532656871757
Eastern,2022-07-01,6194.0,6061.666666666667,-0.0028976175144881,2431.0,2157.0,0.3891428571428572,1.6011512403908037
Eastern,2022-08-01,6461.0,6289.0,0.0431062318372619,1869.0,2016.6666666666667,-0.2311805841217605,0.125422998957875
Eastern,2022-09-01,7387.0,6680.666666666667,0.1433214672651293,1939.0,2079.6666666666665,0.0374531835205993,0.3092325663961401
