Zone,Date,primary_care_visits,visits_roll3,visits_pct_change
Eastern,2023-08-01,11248.0,10856.0,0.08299634122857702
Eastern,2023-09-01,12463.0,11365.666666666666,0.10801920341394022
Eastern,2023-10-01,11283.0,11664.666666666666,-0.09468025355050946
Eastern,2023-11-01,11772.0,11839.333333333334,0.043339537357085955
Eastern,2023-12-01,12152.0,11735.666666666666,0.032279986408426886
Northern,2020-04-01,9.0,9.0,
Northern,2020-07-01,2.0,5.5,-0.7777777777777778
Northern,2020-12-01,836.0,282.3333333333333,417.0
Northern,2021-01-01,436.0,424.6666666666667,-0.47846889952153115
Northern,2021-02-01,593.0,621.6666666666666,0.36009174311926606
Northern,2021-03-01,486.0,505.0,-0.1804384485666105
Northern,2021-04-01,596.0,558.3333333333334,0.22633744855967075
Northern,2021-05-01,547.0,543.0,-0.08221476510067116
Northern,2021-06-01,554.0,565.6666666666666,0.01279707495429605
Northern,2021-07-01,562.0,554.3333333333334,0.014440433212996373
Northern,2021-08-01,719.0,611.6666666666666,0.27935943060498225
Northern,2021-09-01,998.0,759.6666666666666,0.388038942976356
Northern,2021-10-01,1025.0,914.0,0.027054108216432837
Northern,2021-11-01,1456.0,1159.6666666666667,0.4204878048780487
Northern,2021-12-01,1490.0,1323.6666666666667,0.02335164835164827
Northern,2022-01-01,1127.0,1357.6666666666667,-0.24362416107382545
Northern,2022-02-01,1477.0,1364.6666666666667,0.31055900621118004
Northern,2022-03-01,1206.0,1270.0,-0.1834800270819228
Northern,2022-04-01,7073.0,3252.0,4.864842454394693
Northern,2022-05-01,6950.0,5076.333333333333,-0.01739007493284317
Northern,2022-06-01,7685.0,7236.0,0.10575539568345316
Northern,2022-07-01,7898.0,7511.0,0.027716330513988252
Northern,2022-08-01,7477.0,7686.666666666667,-0.05330463408457842
Northern,2022-09-01,8130.0,7835.0,0.08733449244349334
Northern,2022-10-01,7473.0,7693.333333333333,-0.0808118081180812
Northern,2022-11-01,8309.0,7970.666666666667,0.11186939649404515
Northern,2022-12-01,8097.0,7959.666666666667,-0.02551450234685282
Northern,2023-01-01,7790.0,8065.333333333333,-0.03791527726318389
Northern,2023-02-01,7808.0,7898.333333333333,0.0023106546854942955
Northern,2023-03-01,7808.0,7802.0,0.0
Northern,2023-04-01,9163.0,8259.666666666666,0.17353995901639352
Northern,2023-05-01,9713.0,8894.666666666666,0.06002400960384158
Northern,2023-06-01,11443.0,10106.333333333334,0.17811180891588596
Northern,2023-07-01,10734.0,10630.0,-0.06195927641352794
Northern,2023-08-01,10079.0,10752.0,-0.06102105459288243
Northern,2023-09-01,11018.0,10610.333333333334,0.09316400436551242
Northern,2023-10-01,9725.0,10274.0,-0.11735342167362495
Northern,2023-11-01,11443.0,10728.666666666666,0.17665809768637541
Northern,2023-12-01,11760.0,10976.0,0.027702525561478675
Western,2020-12-01,1100.0,1100.0,
Western,2021-01-01,813.0,956.5,-0.26090909090909087
Western,2021-02-01,1024.0,979.0,0.2595325953259533
Western,2021-03-01,984.0,940.3333333333334,-0.0390625
Western,2021-04-01,1399.0,1135.6666666666667,0.4217479674796747
Western,2021-05-01,1182.0,1188.3333333333333,-0.15511079342387424
Western,2021-06-01,597.0,1059.3333333333333,-0.4949238578680203
Western,2021-07-01,2303.0,1360.6666666666667,2.8576214405360134
Western,2021-08-01,1853.0,1584.3333333333333,-0.19539730785931397
Western,2021-09-01,1523.0,1893.0,-0.17808958445763623
Western,2021-10-01,1299.0,1558.3333333333333,-0.14707813525935653
Western,2021-11-01,1510.0,1444.0,0.16243264049268658
Western,2021-12-01,739.0,1182.6666666666667,-0.5105960264900662
Western,2022-01-01,102.0,783.6666666666666,-0.8619756427604871
Western,2022-02-01,224.0,355.0,1.1960784313725492
Western,2022-03-01,201.0,175.66666666666666,-0.1026785714285714
Western,2022-04-01,4220.0,1548.3333333333333,19.99502487562189
Western,2022-05-01,4692.0,3037.6666666666665,0.11184834123222753
Western,2022-06-01,5916.0,4942.666666666667,0.26086956521739135
Western,2022-07-01,7237.0,5948.333333333333,0.22329276538201492
Western,2022-08-01,7374.0,6842.333333333333,0.018930496061904112
Western,2022-09-01,7148.0,7253.0,-0.030648223487930615
Western,2022-10-01,6252.0,6924.666666666667,-0.1253497481813095
Western,2022-11-01,9245.0,7548.333333333333,0.4787268074216251
Western,2022-12-01,8686.0,8061.0,-0.06046511627906981
Western,2023-01-01,7233.0,8388.0,-0.16728068155652775
Western,2023-02-01,8565.0,8161.333333333333,0.1841559518871838
Western,2023-03-01,9352.0,8383.333333333334,0.0918855808523058
Western,2023-04-01,10248.0,9388.333333333334,0.09580838323353302
Western,2023-05-01,10184.0,9928.0,-0.006245120999219367
Western,2023-06-01,11774.0,10735.333333333334,0.15612725844461894
Western,2023-07-01,11346.0,11101.333333333334,-0.03635128248683539
Western,2023-08-01,11013.0,11377.666666666666,-0.02934955050237964
Western,2023-09-01,11244.0,11201.0,0.020975211114137915
Western,2023-10-01,10586.0,10947.666666666666,-0.05852009960868021
Western,2023-11-01,12249.0,11359.666666666666,0.15709427545815235
Western,2023-12-01,12893.0,11909.333333333334,0.052575720466977005
